# Noisy Sine Wave
# Generated in MATLAB R2014b

"Time","Amplitude"
0,0.71387
0.01,0.93921
0.02,1.2675
0.03,1.635
0.04,1.7803
0.05,2.2596
0.06,2.6487
0.07,2.6917
0.08,3.2267
0.09,3.1243
0.1,3.525
0.11,3.5575
0.12,3.8799
0.13,3.969
0.14,4.2461
0.15,4.3895
0.16,4.6021
0.17,4.6876
0.18,4.7834
0.19,5.1089
0.2,5.3363
0.21,5.4125
0.22,5.091
0.23,5.2397
0.24,5.1846
0.25,5.2369
0.26,5.0663
0.27,4.9074
0.28,5.0115
0.29,4.7815
0.3,4.5903
0.31,4.9192
0.32,4.5043
0.33,4.5999
0.34,4.3143
0.35,3.7351
0.36,3.8552
0.37,3.6379
0.38,3.3643
0.39,3.0627
0.4,2.6295
0.41,2.6305
0.42,2.0733
0.43,1.852
0.44,1.8128
0.45,1.4908
0.46,0.95497
0.47,0.60091
0.48,0.43262
0.49,0.2693
0.5,-0.044618
0.51,-0.51477
0.52,-0.95248
0.53,-0.99602
0.54,-1.4995
0.55,-1.5599
0.56,-2.279
0.57,-2.3037
0.58,-2.4759
0.59,-2.9976
0.6,-3.1598
0.61,-3.462
0.62,-3.6085
0.63,-3.7664
0.64,-3.8772
0.65,-4.2939
0.66,-4.1917
0.67,-4.4627
0.68,-4.5933
0.69,-4.6878
0.7,-4.8087
0.71,-4.4647
0.72,-4.5126
0.73,-4.589
0.74,-4.6324
0.75,-4.8871
0.76,-4.7537
0.77,-4.7788
0.78,-4.7928
0.79,-4.5364
0.8,-4.2275
0.81,-4.1293
0.82,-4.0175
0.83,-3.8996
0.84,-3.7894
0.85,-3.4806
0.86,-3.1344
0.87,-2.9037
0.88,-2.7537
0.89,-2.4128
0.9,-2.1976
0.91,-2.1827
0.92,-1.7071
0.93,-1.493
0.94,-1.3212
0.95,-0.98871
0.96,-0.65467
0.97,-0.10577
0.98,0.087451
0.99,0.533
1,0.62756
1.01,0.81545
1.02,1.3849
1.03,1.5622
1.04,2.1938
1.05,2.4653
1.06,2.4919
1.07,2.5823
1.08,3.1699
1.09,3.5058
1.1,3.8138
1.11,3.5843
1.12,3.9947
1.13,4.2596
1.14,4.4948
1.15,4.678
1.16,4.793
1.17,4.9636
1.18,4.901
1.19,5.1002
1.2,4.9438
1.21,4.9717
1.22,5.4703
1.23,5.1408
